Vegitation Index,NDVI,NDWI1,CAI,EVI,GNDVI,SAVI,MSI,ARI,DWSI,CVI
03-12-2020 12:00,0.281,-0.259,0.801,0.213,0.259,0.171,1.036,1.77,1.05,2.333
05-12-2020 12:00,0.335,-0.307,0.79,0.262,0.307,0.201,1.082,2.026,1.069,2.682
08-12-2020 12:00,0.342,-0.316,0.8,0.262,0.316,0.208,0.939,2.231,1.061,2.809
10-12-2020 12:00,0.401,-0.401,0.84,0.266,0.401,0.247,1.004,3.507,1.007,3.963
15-12-2020 12:00,0.356,-0.317,0.788,0.35,0.317,0.247,0.777,1.14,1.095,2.223
18-12-2020 12:00,0.458,-0.428,0.773,0.319,0.428,0.268,0.869,3.629,1.085,3.763
18-12-2020 12:00,0.378,-0.399,0.791,0.285,0.399,0.252,0.919,2.598,0.955,3.282
20-12-2020 12:00,0.422,-0.409,0.782,0.305,0.409,0.258,0.898,3.221,1.037,3.533
23-12-2020 12:00,0.477,-0.451,0.766,0.323,0.451,0.287,0.766,3.383,1.071,3.727
19-01-2020 12:00,0.468,-0.433,0.766,0.367,0.433,0.295,0.807,2.523,1.103,3.229
27-01-2021 12:00,0.606,-0.565,0.79,0.399,0.565,0.355,0.7,5.532,1.164,5.334
01-02-2021 12:00,0.388,-0.43,0.798,0.232,0.43,0.235,0.957,4.301,0.907,4.436
03-02-2021 12:00,0.34,-0.301,0.832,0.356,0.301,0.234,0.811,0.975,1.091,2.191
06-02-2021 12:00,0.442,-0.456,0.803,0.285,0.456,0.257,0.873,4.64,0.977,4.513
08-02-2021 12:00,0.288,-0.341,0.859,0.191,0.341,0.179,1.026,2.874,0.891,3.082
16-02-2021 12:00,0.437,-0.44,0.833,0.267,0.44,0.246,0.863,4.054,0.999,3.993
18-02-2021 12:00,0.331,-0.395,0.845,0.201,0.395,0.198,1.069,3.789,0.87,3.938
23-02-2021 12:00,0.295,-0.347,0.89,0.2,0.347,0.184,0.961,2.393,0.893,3.023
26-02-2021 12:00,0.357,-0.389,0.843,0.209,0.389,0.203,1.033,4.139,0.939,4.038
28-02-2021 12:00,0.262,-0.347,0.873,0.178,0.347,0.17,0.997,2.657,0.83,3.054
03-03-2021 12:00,0.366,-0.407,0.819,0.219,0.407,0.218,0.952,3.964,0.915,3.995
05-03-2021 12:00,0.262,-0.339,0.88,0.172,0.339,0.166,1.042,2.892,0.848,3.235
08-03-2021 12:00,0.335,-0.398,0.826,0.189,0.398,0.195,1.03,4.438,0.869,4.252
15-03-2021 12:00,0.342,-0.399,0.779,0.244,0.399,0.236,0.857,3.291,0.877,4.12
20-03-2021 12:00,0.299,-0.362,0.821,0.186,0.362,0.197,0.975,3.179,0.872,3.975
28-03-2021 12:00,0.324,-0.348,0.781,0.22,0.348,0.2,0.949,2.641,0.949,3.201
30-03-2021 12:00,0.234,-0.288,0.843,0.172,0.288,0.157,1.006,1.952,0.89,2.713
02-04-2021 12:00,0.259,-0.36,0.814,0.174,0.36,0.174,1.015,2.902,0.799,3.448
04-04-2021 12:00,0.357,-0.412,0.809,0.257,0.412,0.244,0.927,3.184,0.881,4.341
07-04-2021 12:00,0.367,-0.421,0.775,0.242,0.421,0.231,0.922,3.67,0.883,4.089
09-04-2021 12:00,0.234,-0.351,0.834,0.17,0.351,0.168,1.099,2.738,0.775,3.505
12-04-2021 12:00,0.209,-0.3,0.826,0.148,0.3,0.142,1.116,2.384,0.823,2.909
24-04-2021 12:00,0.265,-0.362,0.835,0.192,0.362,0.185,1.087,2.782,0.806,3.429
27-04-2021 12:00,0.274,-0.364,0.842,0.18,0.364,0.173,1.152,3.144,0.819,3.532
29-04-2021 12:00,0.179,-0.263,0.874,0.13,0.263,0.12,1.231,2.171,0.837,2.632
02-05-2021 12:00,0.178,-0.226,0.863,0.14,0.226,0.117,1.197,1.717,0.905,2.284
07-05-2021 12:00,0.329,-0.373,0.846,0.221,0.373,0.201,1.126,3.202,0.906,3.581
09-01-1900 00:00,0.201,-0.248,0.884,0.168,0.248,0.137,1.246,1.715,0.905,2.389
14-05-2021 12:00,0.305,-0.349,0.887,0.235,0.349,0.213,1.042,2.098,0.909,2.994
17-05-2021 12:00,0.377,-0.391,0.873,0.272,0.391,0.243,1.01,2.993,0.97,3.594
22-05-2021 12:00,0.439,-0.448,0.809,0.336,0.448,0.306,0.913,3.423,0.988,4.571
24-05-2021 12:00,0.192,-0.265,0.901,0.147,0.265,0.136,1.231,2.01,0.858,2.612
27-05-2021 12:00,0.234,-0.305,0.937,0.157,0.305,0.145,1.242,2.739,0.861,2.944
29-05-2021 12:00,0.159,-0.219,0.897,0.124,0.219,0.111,1.261,1.706,0.885,2.366
06-06-2021 12:00,0.256,-0.308,0.892,0.177,0.308,0.162,1.194,2.553,0.895,3.118
07-06-2021 12:00,0.181,-0.238,0.87,0.147,0.238,0.129,1.16,1.315,0.887,2.3
08-06-2021 12:00,0.161,-0.199,0.853,0.127,0.199,0.109,1.165,1.313,0.925,2.088
09-06-2021 12:00,0.207,-0.241,0.894,0.156,0.241,0.14,1.009,1.474,0.934,2.296
10-06-2021 12:00,0.213,-0.235,0.835,0.176,0.235,0.143,0.954,1.611,0.954,2.4
11-06-2021 12:00,0.202,-0.21,0.816,0.159,0.21,0.131,1.082,1.586,0.983,2.262
01-07-2021 12:00,0.203,-0.215,0.862,0.174,0.215,0.146,0.91,1.116,0.977,2.069
06-07-2021 12:00,0.226,-0.237,0.814,0.17,0.237,0.143,1.031,1.692,0.977,2.411
08-07-2021 12:00,0.225,-0.235,0.819,0.173,0.235,0.149,1.086,2.065,0.98,2.743
21-07-2021 12:00,0.379,-0.353,0.709,0.258,0.353,0.221,0.813,2.313,1.064,3.04
10-08-2021 12:00,0.484,-0.452,0.687,0.42,0.452,0.335,0.776,2.366,1.087,4.207
12-08-2021 12:00,0.462,-0.489,0.706,0.347,0.489,0.333,0.823,3.463,0.938,5.79
15-08-2021 12:00,0.574,-0.572,0.66,0.386,0.572,0.384,0.769,4.847,1.012,7.595
17-08-2021 12:00,0.417,-0.435,0.744,0.334,0.435,0.298,0.896,2.569,0.962,4.359
25-08-2021 12:00,0.686,-0.652,0.697,0.484,0.652,0.452,0.682,6.761,1.146,9.402
27-08-2021 12:00,0.571,-0.57,0.678,0.416,0.57,0.408,0.755,4.945,1.014,7.28
06-09-2021 12:00,0.561,-0.496,0.694,0.509,0.496,0.385,0.825,2.581,1.208,4.583
16-09-2021 12:00,0.587,-0.517,0.703,0.491,0.517,0.405,0.754,2.911,1.255,4.73
24-09-2021 12:00,0.634,-0.602,0.622,0.395,0.602,0.376,0.751,6.717,1.146,8.435
26-09-2021 12:00,0.589,-0.534,0.708,0.42,0.534,0.392,0.754,4.242,1.198,5.571
29-09-2021 12:00,0.423,-0.239,0.627,3.059,0.239,0.303,0.456,-2.424,1.558,0.713
01-10-2021 12:00,0.466,-0.402,0.765,0.459,0.402,0.327,0.832,1.593,1.173,3.357
06-10-2021 12:00,0.528,-0.512,0.708,0.391,0.512,0.361,0.814,4.349,1.053,6.177
09-10-2021 12:00,0.57,-0.54,0.691,0.372,0.54,0.378,0.816,5.015,1.102,6.813
11-10-2021 12:00,0.497,-0.509,0.724,0.351,0.509,0.343,0.841,4.51,0.976,6.007
14-10-2021 12:00,0.592,-0.582,0.683,0.362,0.582,0.368,0.863,6.942,1.04,8.61
16-10-2021 12:00,0.442,-0.436,0.758,0.332,0.436,0.293,0.921,3.354,1.017,4.488
19-10-2021 12:00,0.457,-0.427,0.743,0.338,0.427,0.291,0.898,3.168,1.083,4.211
21-10-2021 12:00,0.424,-0.427,0.745,0.335,0.427,0.282,0.909,3.06,0.994,3.99
26-10-2021 12:00,0.513,-0.516,0.683,0.35,0.516,0.334,0.819,4.885,0.997,6.222
29-10-2021 12:00,0.496,-0.487,0.715,0.356,0.487,0.319,0.819,3.91,1.033,5.068
31-10-2021 12:00,0.406,-0.406,0.741,0.32,0.406,0.266,0.902,2.794,1.001,3.721
03-11-2021 12:00,0.345,-0.348,0.705,0.283,0.348,0.224,0.948,2.043,0.995,3.076
08-11-2021 12:00,0.376,-0.379,0.739,0.29,0.379,0.243,0.922,2.636,0.995,3.566
10-11-2021 12:00,0.331,-0.358,0.769,0.286,0.358,0.231,1.029,1.901,0.941,2.847
13-11-2021 12:00,0.433,-0.476,0.707,0.321,0.476,0.289,0.897,3.884,0.905,4.809
15-11-2021 12:00,0.279,-0.329,0.771,0.226,0.329,0.193,1.084,2.143,0.897,2.903
18-11-2021 12:00,0.266,-0.348,0.774,0.211,0.348,0.193,1.018,2.034,0.833,2.966
20-11-2021 12:00,0.38,-0.407,0.772,0.296,0.407,0.253,0.977,2.703,0.948,3.833
23-11-2021 12:00,0.443,-0.444,0.774,0.311,0.444,0.278,0.903,3.483,1.014,4.141
25-11-2021 12:00,0.23,-0.255,0.855,0.166,0.255,0.14,1.208,1.883,0.949,2.492
28-11-2021 12:00,0.215,-0.219,0.837,0.165,0.219,0.132,1.123,1.387,0.991,2.08
30-11-2021 12:00,0.341,-0.36,0.775,0.26,0.36,0.221,1.01,2.153,0.964,2.943
05-12-2021 12:00,0.24,-0.259,0.84,0.225,0.259,0.163,1.261,1.49,0.961,2.375
08-12-2021 12:00,0.289,-0.347,0.823,0.175,0.347,0.17,1.171,3.333,0.879,3.361
10-12-2021 12:00,0.294,-0.339,0.815,0.207,0.339,0.183,1.156,2.911,0.905,3.23
13-12-2021 12:00,0.286,-0.238,0.779,0.265,0.238,0.18,0.948,0.911,1.11,1.961
15-12-2021 12:00,0.251,-0.247,0.774,0.198,0.247,0.154,1.077,1.731,1.009,2.242
18-12-2021 12:00,0.221,-0.207,0.782,0.199,0.207,0.142,0.965,1.247,1.03,1.965
20-12-2021 12:00,0.3,-0.325,0.784,0.212,0.325,0.185,1.13,2.675,0.947,3.05
25-12-2021 12:00,0.232,-0.198,0.798,0.211,0.198,0.146,1,0.989,1.075,1.836
29-01-2022 12:00,0.33,-0.334,0.799,0.334,0.334,0.251,0.865,1.38,0.995,2.55
08-02-2022 12:00,0.266,-0.25,0.81,0.353,0.25,0.216,0.82,0.72,1.035,1.972
11-02-2022 12:00,0.385,-0.362,0.822,0.433,0.362,0.301,0.77,1.087,1.057,2.427
13-02-2022 12:00,0.357,-0.34,0.824,0.408,0.34,0.286,0.805,1.133,1.041,2.46
16-02-2022 12:00,0.357,-0.351,0.835,0.386,0.351,0.281,0.823,1.208,1.016,2.596
18-02-2022 12:00,0.377,-0.37,0.848,0.458,0.37,0.308,0.766,1.231,1.019,2.792
21-02-2022 12:00,0.405,-0.401,0.827,0.457,0.401,0.327,0.76,1.536,1.011,3.02
28-02-2022 12:00,0.363,-0.368,0.833,0.409,0.368,0.295,0.812,1.251,0.99,2.782
